x,y,height,momentum_x,bathymetry
0.5,0.5,22.89241,219.9402,0
1.5,0.5,22.88141,219.9989,0
2.5,0.5,22.80019,220.4314,0
3.5,0.5,22.72141,220.8448,0
4.5,0.5,22.64537,221.2381,0
5.5,0.5,22.57239,221.6102,0
6.5,0.5,22.50284,221.96,0
7.5,0.5,22.43712,222.2862,0
8.5,0.5,22.37564,222.5875,0
9.5,0.5,22.3188,222.8628,0
10.5,0.5,22.26698,223.111,0
11.5,0.5,22.22054,223.3314,0
12.5,0.5,22.17972,223.5233,0
13.5,0.5,22.14467,223.687,0
14.5,0.5,22.11539,223.8228,0
15.5,0.5,22.09171,223.9322,0
16.5,0.5,22.07329,224.0171,0
17.5,0.5,22.0596,224.0801,0
18.5,0.5,22.05002,224.1243,0
19.5,0.5,22.04382,224.153,0
20.5,0.5,22.04028,224.1697,0
21.5,0.5,22.03869,224.1776,0
22.5,0.5,22.03843,224.1795,0
23.5,0.5,22.039,224.1776,0
24.5,0.5,22.04002,224.1737,0
25.5,0.5,22.04123,224.1689,0
26.5,0.5,22.04244,224.1642,0
27.5,0.5,22.04357,224.1598,0
28.5,0.5,22.04457,224.156,0
29.5,0.5,22.04542,224.1529,0
30.5,0.5,22.04613,224.1504,0
31.5,0.5,22.04672,224.1486,0
32.5,0.5,22.0472,224.1472,0
33.5,0.5,22.04758,224.1463,0
34.5,0.5,22.0479,224.1457,0
35.5,0.5,22.04815,224.1454,0
36.5,0.5,22.04835,224.1453,0
37.5,0.5,22.0485,224.1455,0
38.5,0.5,22.04862,224.1458,0
39.5,0.5,22.04872,224.1463,0
40.5,0.5,22.04879,224.1468,0
41.5,0.5,22.04883,224.1475,0
42.5,0.5,22.04886,224.1483,0
43.5,0.5,22.04887,224.1492,0
44.5,0.5,22.04887,224.1502,0
45.5,0.5,22.04885,224.1512,0
46.5,0.5,22.04883,224.1523,0
47.5,0.5,22.04878,224.1536,0
48.5,0.5,22.0487,224.1549,0
49.5,0.5,22.04857,224.1565,0
50.5,0.5,22.04837,224.1584,0
51.5,0.5,22.04807,224.1609,0
52.5,0.5,22.04762,224.164,0
53.5,0.5,22.04695,224.1681,0
54.5,0.5,22.046,224.1735,0
55.5,0.5,22.04465,224.1808,0
56.5,0.5,22.0428,224.1903,0
57.5,0.5,22.04032,224.2026,0
58.5,0.5,22.03708,224.2185,0
59.5,0.5,22.03294,224.2384,0
60.5,0.5,22.02782,224.2627,0
61.5,0.5,22.02162,224.2918,0
62.5,0.5,22.01435,224.3259,0
63.5,0.5,22.00601,224.3646,0
64.5,0.5,21.99673,224.4075,0
65.5,0.5,21.98668,224.4538,0
66.5,0.5,21.97611,224.5023,0
67.5,0.5,21.9653,224.5518,0
68.5,0.5,21.95457,224.6009,0
69.5,0.5,21.94425,224.648,0
70.5,0.5,21.93463,224.6919,0
71.5,0.5,21.92596,224.7316,0
72.5,0.5,21.91842,224.7663,0
73.5,0.5,21.91209,224.7955,0
74.5,0.5,21.90698,224.8195,0
75.5,0.5,21.90302,224.8383,0
76.5,0.5,21.90009,224.8526,0
77.5,0.5,21.89801,224.8632,0
78.5,0.5,21.89661,224.8708,0
79.5,0.5,21.89573,224.8763,0
80.5,0.5,21.8952,224.8801,0
81.5,0.5,21.89492,224.8829,0
82.5,0.5,21.89479,224.8851,0
83.5,0.5,21.89475,224.8869,0
84.5,0.5,21.89477,224.8885,0
85.5,0.5,21.8948,224.8899,0
86.5,0.5,21.89486,224.8914,0
87.5,0.5,21.89491,224.8929,0
88.5,0.5,21.89496,224.8944,0
89.5,0.5,21.89502,224.896,0
90.5,0.5,21.89508,224.8975,0
91.5,0.5,21.89514,224.899,0
92.5,0.5,21.89519,224.9007,0
93.5,0.5,21.89525,224.9023,0
94.5,0.5,21.89531,224.9039,0
95.5,0.5,21.89538,224.9055,0
96.5,0.5,21.89544,224.9072,0
97.5,0.5,21.8955,224.9088,0
98.5,0.5,21.89556,224.9105,0
99.5,0.5,21.89564,224.9122,0
