x,y,height,momentum_x,bathymetry
0.5,0.5,34.65859,94.62536,0
1.5,0.5,34.52488,96.70728,0
2.5,0.5,34.18621,101.9439,0
3.5,0.5,33.84575,107.115,0
4.5,0.5,33.50389,112.2126,0
5.5,0.5,33.161,117.23,0
6.5,0.5,32.81739,122.1611,0
7.5,0.5,32.47335,127.001,0
8.5,0.5,32.12913,131.7453,0
9.5,0.5,31.78494,136.3903,0
10.5,0.5,31.44099,140.933,0
11.5,0.5,31.09745,145.3707,0
12.5,0.5,30.75449,149.701,0
13.5,0.5,30.41225,153.9221,0
14.5,0.5,30.07088,158.0325,0
15.5,0.5,29.73051,162.0308,0
16.5,0.5,29.39125,165.916,0
17.5,0.5,29.05323,169.6871,0
18.5,0.5,28.71656,173.3435,0
19.5,0.5,28.38137,176.8846,0
20.5,0.5,28.04777,180.31,0
21.5,0.5,27.71589,183.6194,0
22.5,0.5,27.38589,186.8124,0
23.5,0.5,27.05789,189.889,0
24.5,0.5,26.73209,192.8486,0
25.5,0.5,26.40868,195.6913,0
26.5,0.5,26.08791,198.4164,0
27.5,0.5,25.77005,201.0235,0
28.5,0.5,25.45545,203.5121,0
29.5,0.5,25.14455,205.881,0
30.5,0.5,24.83791,208.1292,0
31.5,0.5,24.53623,210.2548,0
32.5,0.5,24.24042,212.2555,0
33.5,0.5,23.95168,214.1283,0
34.5,0.5,23.67155,215.8691,0
35.5,0.5,23.40206,217.4726,0
36.5,0.5,23.14585,218.932,0
37.5,0.5,22.90628,220.2389,0
38.5,0.5,22.68746,221.3836,0
39.5,0.5,22.49414,222.3555,0
40.5,0.5,22.33122,223.1456,0
41.5,0.5,22.20279,223.7491,0
42.5,0.5,22.11065,224.1707,0
43.5,0.5,22.05295,224.4285,0
44.5,0.5,22.0238,224.5549,0
45.5,0.5,22.01455,224.5912,0
46.5,0.5,22.01637,224.5776,0
47.5,0.5,22.02252,224.5444,0
48.5,0.5,22.02918,224.5087,0
49.5,0.5,22.03489,224.4772,0
50.5,0.5,22.03938,224.451,0
51.5,0.5,22.04285,224.4292,0
52.5,0.5,22.04556,224.4108,0
53.5,0.5,22.04768,224.3948,0
54.5,0.5,22.04934,224.3808,0
55.5,0.5,22.05065,224.3682,0
56.5,0.5,22.05167,224.3567,0
57.5,0.5,22.05245,224.3461,0
58.5,0.5,22.05303,224.3363,0
59.5,0.5,22.05346,224.3269,0
60.5,0.5,22.05375,224.318,0
61.5,0.5,22.05393,224.3094,0
62.5,0.5,22.05402,224.301,0
63.5,0.5,22.05403,224.2927,0
64.5,0.5,22.05396,224.2845,0
65.5,0.5,22.05384,224.2764,0
66.5,0.5,22.05367,224.2682,0
67.5,0.5,22.05345,224.2599,0
68.5,0.5,22.0532,224.2516,0
69.5,0.5,22.05291,224.2431,0
70.5,0.5,22.05259,224.2344,0
71.5,0.5,22.05224,224.2256,0
72.5,0.5,22.05186,224.2165,0
73.5,0.5,22.05145,224.2072,0
74.5,0.5,22.05103,224.1976,0
75.5,0.5,22.05058,224.1878,0
76.5,0.5,22.05011,224.1776,0
77.5,0.5,22.04963,224.167,0
78.5,0.5,22.04912,224.1561,0
79.5,0.5,22.04859,224.1449,0
80.5,0.5,22.04805,224.1331,0
81.5,0.5,22.04749,224.1209,0
82.5,0.5,22.0469,224.1082,0
83.5,0.5,22.04629,224.095,0
84.5,0.5,22.04566,224.0812,0
85.5,0.5,22.04501,224.0668,0
86.5,0.5,22.04433,224.0519,0
87.5,0.5,22.04362,224.0362,0
88.5,0.5,22.04288,224.0199,0
89.5,0.5,22.0421,224.0027,0
90.5,0.5,22.0413,223.9847,0
91.5,0.5,22.04042,223.966,0
92.5,0.5,22.0394,223.9467,0
93.5,0.5,22.0378,223.9289,0
94.5,0.5,22.03433,223.9181,0
95.5,0.5,22.02576,223.9289,0
96.5,0.5,22.00676,223.9851,0
97.5,0.5,21.97307,224.105,0
98.5,0.5,21.92925,224.2669,0
99.5,0.5,21.89206,224.3955,0
