x,y,height,momentum_x,bathymetry
0.5,0.5,28.08302,179.5941,0
1.5,0.5,28.02855,180.1445,0
2.5,0.5,27.81625,182.2799,0
3.5,0.5,27.60471,184.3676,0
4.5,0.5,27.39398,186.4077,0
5.5,0.5,27.18407,188.4002,0
6.5,0.5,26.97503,190.3452,0
7.5,0.5,26.76689,192.2425,0
8.5,0.5,26.55968,194.0924,0
9.5,0.5,26.35345,195.8948,0
10.5,0.5,26.14825,197.6496,0
11.5,0.5,25.94414,199.3568,0
12.5,0.5,25.74117,201.0164,0
13.5,0.5,25.53943,202.6282,0
14.5,0.5,25.33901,204.1922,0
15.5,0.5,25.14,205.7081,0
16.5,0.5,24.94254,207.1758,0
17.5,0.5,24.74676,208.5947,0
18.5,0.5,24.55286,209.9645,0
19.5,0.5,24.36104,211.2846,0
20.5,0.5,24.17157,212.5544,0
21.5,0.5,23.98478,213.7728,0
22.5,0.5,23.80103,214.9388,0
23.5,0.5,23.62083,216.0509,0
24.5,0.5,23.44477,217.1075,0
25.5,0.5,23.27355,218.1063,0
26.5,0.5,23.10809,219.0447,0
27.5,0.5,22.94943,219.9197,0
28.5,0.5,22.79887,220.7276,0
29.5,0.5,22.65791,221.4642,0
30.5,0.5,22.5282,222.1252,0
31.5,0.5,22.41156,222.7061,0
32.5,0.5,22.30971,223.2029,0
33.5,0.5,22.22413,223.6133,0
34.5,0.5,22.15569,223.9373,0
35.5,0.5,22.10437,224.1784,0
36.5,0.5,22.06901,224.3446,0
37.5,0.5,22.04737,224.4475,0
38.5,0.5,22.03645,224.5018,0
39.5,0.5,22.03295,224.5224,0
40.5,0.5,22.03391,224.523,0
41.5,0.5,22.03704,224.5138,0
42.5,0.5,22.04083,224.5016,0
43.5,0.5,22.04447,224.4901,0
44.5,0.5,22.04765,224.4806,0
45.5,0.5,22.0503,224.4735,0
46.5,0.5,22.05247,224.4685,0
47.5,0.5,22.05425,224.4652,0
48.5,0.5,22.05572,224.4632,0
49.5,0.5,22.05693,224.4623,0
50.5,0.5,22.05794,224.4622,0
51.5,0.5,22.05879,224.4627,0
52.5,0.5,22.05949,224.4636,0
53.5,0.5,22.06009,224.4648,0
54.5,0.5,22.06058,224.4663,0
55.5,0.5,22.06098,224.4679,0
56.5,0.5,22.06132,224.4695,0
57.5,0.5,22.06159,224.471,0
58.5,0.5,22.06181,224.4725,0
59.5,0.5,22.06198,224.4738,0
60.5,0.5,22.0621,224.4749,0
61.5,0.5,22.06219,224.4757,0
62.5,0.5,22.06223,224.4763,0
63.5,0.5,22.06225,224.4765,0
64.5,0.5,22.06223,224.4765,0
65.5,0.5,22.06219,224.4761,0
66.5,0.5,22.06211,224.4755,0
67.5,0.5,22.06203,224.4745,0
68.5,0.5,22.06192,224.4733,0
69.5,0.5,22.0618,224.4718,0
70.5,0.5,22.06167,224.47,0
71.5,0.5,22.06151,224.468,0
72.5,0.5,22.06135,224.4659,0
73.5,0.5,22.06118,224.4635,0
74.5,0.5,22.06101,224.461,0
75.5,0.5,22.06082,224.4583,0
76.5,0.5,22.06063,224.4555,0
77.5,0.5,22.0604,224.4527,0
78.5,0.5,22.06012,224.4501,0
79.5,0.5,22.05972,224.4479,0
80.5,0.5,22.05909,224.4467,0
81.5,0.5,22.05802,224.4473,0
82.5,0.5,22.05619,224.4512,0
83.5,0.5,22.0531,224.4608,0
84.5,0.5,22.04814,224.4788,0
85.5,0.5,22.0406,224.5083,0
86.5,0.5,22.0299,224.5518,0
87.5,0.5,22.01581,224.6105,0
88.5,0.5,21.99864,224.6825,0
89.5,0.5,21.97944,224.7633,0
90.5,0.5,21.95982,224.8454,0
91.5,0.5,21.94166,224.9206,0
92.5,0.5,21.92658,224.9818,0
93.5,0.5,21.91551,225.0251,0
94.5,0.5,21.90841,225.0507,0
95.5,0.5,21.90449,225.0622,0
96.5,0.5,21.90264,225.0645,0
97.5,0.5,21.90186,225.062,0
98.5,0.5,21.9015,225.0575,0
99.5,0.5,21.90126,225.0524,0
