x,y,height,momentum_x,bathymetry
0.5,0.5,23.56188,216.1493,0
1.5,0.5,23.54598,216.2442,0
2.5,0.5,23.44109,216.8696,0
3.5,0.5,23.33763,217.4759,0
4.5,0.5,23.23578,218.0627,0
5.5,0.5,23.13573,218.6293,0
6.5,0.5,23.03773,219.1749,0
7.5,0.5,22.94203,219.6986,0
8.5,0.5,22.84896,220.1995,0
9.5,0.5,22.75885,220.6763,0
10.5,0.5,22.67213,221.1277,0
11.5,0.5,22.58923,221.5524,0
12.5,0.5,22.51065,221.9488,0
13.5,0.5,22.4369,222.3153,0
14.5,0.5,22.36854,222.6503,0
15.5,0.5,22.3061,222.9525,0
16.5,0.5,22.25008,223.2204,0
17.5,0.5,22.20086,223.4533,0
18.5,0.5,22.1587,223.6511,0
19.5,0.5,22.1237,223.8142,0
20.5,0.5,22.09566,223.9442,0
21.5,0.5,22.07417,224.0435,0
22.5,0.5,22.05859,224.1156,0
23.5,0.5,22.04805,224.1645,0
24.5,0.5,22.04161,224.1948,0
25.5,0.5,22.03829,224.211,0
26.5,0.5,22.03717,224.2173,0
27.5,0.5,22.03746,224.2171,0
28.5,0.5,22.03857,224.2133,0
29.5,0.5,22.04004,224.2078,0
30.5,0.5,22.0416,224.2019,0
31.5,0.5,22.04308,224.1965,0
32.5,0.5,22.0444,224.1917,0
33.5,0.5,22.04552,224.1879,0
34.5,0.5,22.04647,224.1849,0
35.5,0.5,22.04725,224.1826,0
36.5,0.5,22.04789,224.181,0
37.5,0.5,22.04842,224.1799,0
38.5,0.5,22.04885,224.1794,0
39.5,0.5,22.0492,224.1791,0
40.5,0.5,22.04948,224.1792,0
41.5,0.5,22.04972,224.1796,0
42.5,0.5,22.04991,224.1801,0
43.5,0.5,22.05006,224.1809,0
44.5,0.5,22.05018,224.1818,0
45.5,0.5,22.05027,224.1829,0
46.5,0.5,22.05035,224.1841,0
47.5,0.5,22.0504,224.1854,0
48.5,0.5,22.05044,224.1868,0
49.5,0.5,22.05046,224.1882,0
50.5,0.5,22.05048,224.1898,0
51.5,0.5,22.05049,224.1913,0
52.5,0.5,22.05049,224.1929,0
53.5,0.5,22.05048,224.1946,0
54.5,0.5,22.05046,224.1965,0
55.5,0.5,22.0504,224.1984,0
56.5,0.5,22.05029,224.2006,0
57.5,0.5,22.05011,224.2033,0
58.5,0.5,22.04981,224.2064,0
59.5,0.5,22.04932,224.2104,0
60.5,0.5,22.04857,224.2157,0
61.5,0.5,22.04745,224.2226,0
62.5,0.5,22.04582,224.2318,0
63.5,0.5,22.04354,224.2441,0
64.5,0.5,22.04043,224.2601,0
65.5,0.5,22.03631,224.2807,0
66.5,0.5,22.03103,224.3066,0
67.5,0.5,22.02448,224.3381,0
68.5,0.5,22.01661,224.3756,0
69.5,0.5,22.00748,224.4188,0
70.5,0.5,21.99719,224.4671,0
71.5,0.5,21.98602,224.5193,0
72.5,0.5,21.97429,224.5738,0
73.5,0.5,21.96239,224.629,0
74.5,0.5,21.95078,224.6828,0
75.5,0.5,21.93986,224.7334,0
76.5,0.5,21.93,224.7793,0
77.5,0.5,21.92146,224.8192,0
78.5,0.5,21.9144,224.8527,0
79.5,0.5,21.90883,224.8795,0
80.5,0.5,21.90466,224.9003,0
81.5,0.5,21.9017,224.9157,0
82.5,0.5,21.89972,224.9269,0
83.5,0.5,21.8985,224.9348,0
84.5,0.5,21.8978,224.9404,0
85.5,0.5,21.89744,224.9445,0
86.5,0.5,21.8973,224.9477,0
87.5,0.5,21.89729,224.9505,0
88.5,0.5,21.89734,224.953,0
89.5,0.5,21.89741,224.9554,0
90.5,0.5,21.8975,224.9578,0
91.5,0.5,21.89759,224.9602,0
92.5,0.5,21.89768,224.9627,0
93.5,0.5,21.89778,224.9652,0
94.5,0.5,21.89788,224.9677,0
95.5,0.5,21.89797,224.9703,0
96.5,0.5,21.89807,224.9729,0
97.5,0.5,21.89818,224.9756,0
98.5,0.5,21.89828,224.9783,0
99.5,0.5,21.8984,224.981,0
