x,y,height,momentum_x,bathymetry
0.5,0.5,25.91966,199.4222,0
1.5,0.5,25.88572,199.6997,0
2.5,0.5,25.72197,201.033,0
3.5,0.5,25.55899,202.3355,0
4.5,0.5,25.39681,203.6071,0
5.5,0.5,25.23549,204.8478,0
6.5,0.5,25.07507,206.0574,0
7.5,0.5,24.91562,207.2359,0
8.5,0.5,24.75722,208.383,0
9.5,0.5,24.59995,209.4985,0
10.5,0.5,24.44391,210.5823,0
11.5,0.5,24.28921,211.6339,0
12.5,0.5,24.13601,212.6529,0
13.5,0.5,23.98447,213.6389,0
14.5,0.5,23.83479,214.5912,0
15.5,0.5,23.68721,215.5092,0
16.5,0.5,23.54202,216.392,0
17.5,0.5,23.39955,217.2384,0
18.5,0.5,23.26023,218.0472,0
19.5,0.5,23.12454,218.8169,0
20.5,0.5,22.99308,219.5456,0
21.5,0.5,22.86654,220.2312,0
22.5,0.5,22.74572,220.8714,0
23.5,0.5,22.63155,221.4634,0
24.5,0.5,22.52506,222.0042,0
25.5,0.5,22.42734,222.4909,0
26.5,0.5,22.3395,222.9207,0
27.5,0.5,22.26256,223.2914,0
28.5,0.5,22.19731,223.6016,0
29.5,0.5,22.14417,223.8517,0
30.5,0.5,22.10303,224.0441,0
31.5,0.5,22.07316,224.1836,0
32.5,0.5,22.05323,224.2772,0
33.5,0.5,22.04146,224.3336,0
34.5,0.5,22.03583,224.3621,0
35.5,0.5,22.03438,224.3718,0
36.5,0.5,22.03545,224.3702,0
37.5,0.5,22.03775,224.3631,0
38.5,0.5,22.04046,224.3541,0
39.5,0.5,22.0431,224.3455,0
40.5,0.5,22.04545,224.3382,0
41.5,0.5,22.04745,224.3326,0
42.5,0.5,22.04912,224.3286,0
43.5,0.5,22.05049,224.3259,0
44.5,0.5,22.05162,224.3243,0
45.5,0.5,22.05257,224.3237,0
46.5,0.5,22.05336,224.3238,0
47.5,0.5,22.05402,224.3246,0
48.5,0.5,22.05458,224.3259,0
49.5,0.5,22.05506,224.3275,0
50.5,0.5,22.05546,224.3296,0
51.5,0.5,22.05581,224.332,0
52.5,0.5,22.05612,224.3347,0
53.5,0.5,22.05638,224.3376,0
54.5,0.5,22.0566,224.3407,0
55.5,0.5,22.05681,224.3439,0
56.5,0.5,22.05699,224.3473,0
57.5,0.5,22.05715,224.3509,0
58.5,0.5,22.0573,224.3546,0
59.5,0.5,22.05743,224.3584,0
60.5,0.5,22.05755,224.3623,0
61.5,0.5,22.05766,224.3663,0
62.5,0.5,22.05777,224.3704,0
63.5,0.5,22.05788,224.3745,0
64.5,0.5,22.05799,224.3787,0
65.5,0.5,22.05809,224.3829,0
66.5,0.5,22.05819,224.3872,0
67.5,0.5,22.05829,224.3915,0
68.5,0.5,22.05838,224.3959,0
69.5,0.5,22.05844,224.4004,0
70.5,0.5,22.05847,224.4051,0
71.5,0.5,22.05842,224.4102,0
72.5,0.5,22.05824,224.4159,0
73.5,0.5,22.05782,224.4227,0
74.5,0.5,22.057,224.4313,0
75.5,0.5,22.05556,224.4427,0
76.5,0.5,22.05322,224.4581,0
77.5,0.5,22.04961,224.4791,0
78.5,0.5,22.04438,224.5075,0
79.5,0.5,22.03717,224.5446,0
80.5,0.5,22.02777,224.5915,0
81.5,0.5,22.01614,224.6481,0
82.5,0.5,22.00255,224.7132,0
83.5,0.5,21.98757,224.7841,0
84.5,0.5,21.97199,224.8573,0
85.5,0.5,21.95679,224.9284,0
86.5,0.5,21.94293,224.993,0
87.5,0.5,21.93116,225.048,0
88.5,0.5,21.92192,225.0914,0
89.5,0.5,21.91527,225.123,0
90.5,0.5,21.91091,225.1441,0
91.5,0.5,21.90834,225.1571,0
92.5,0.5,21.90699,225.1644,0
93.5,0.5,21.90636,225.168,0
94.5,0.5,21.90611,225.1696,0
95.5,0.5,21.90602,225.1701,0
96.5,0.5,21.90599,225.1699,0
97.5,0.5,21.90596,225.1694,0
98.5,0.5,21.90592,225.1685,0
99.5,0.5,21.90587,225.1673,0
