x,y,height,momentum_x,bathymetry
0.5,0.5,23.99826,213.4473,0
1.5,0.5,23.97927,213.5687,0
2.5,0.5,23.86206,214.3157,0
3.5,0.5,23.74597,215.0424,0
4.5,0.5,23.63114,215.7486,0
5.5,0.5,23.51771,216.4337,0
6.5,0.5,23.40584,217.0973,0
7.5,0.5,23.29572,217.7386,0
8.5,0.5,23.18759,218.3569,0
9.5,0.5,23.08171,218.9513,0
10.5,0.5,22.97838,219.521,0
11.5,0.5,22.87798,220.0646,0
12.5,0.5,22.78089,220.5808,0
13.5,0.5,22.6876,221.0682,0
14.5,0.5,22.59863,221.5252,0
15.5,0.5,22.51456,221.95,0
16.5,0.5,22.43601,222.3406,0
17.5,0.5,22.3636,222.6954,0
18.5,0.5,22.29797,223.0127,0
19.5,0.5,22.23968,223.2912,0
20.5,0.5,22.18913,223.53,0
21.5,0.5,22.14659,223.7293,0
22.5,0.5,22.11204,223.8902,0
23.5,0.5,22.08515,224.0149,0
24.5,0.5,22.06531,224.1068,0
25.5,0.5,22.05164,224.1704,0
26.5,0.5,22.04306,224.2107,0
27.5,0.5,22.03843,224.2331,0
28.5,0.5,22.03662,224.2428,0
29.5,0.5,22.03667,224.244,0
30.5,0.5,22.0378,224.2404,0
31.5,0.5,22.03944,224.2345,0
32.5,0.5,22.04121,224.228,0
33.5,0.5,22.0429,224.2219,0
34.5,0.5,22.04442,224.2167,0
35.5,0.5,22.04572,224.2124,0
36.5,0.5,22.0468,224.2091,0
37.5,0.5,22.0477,224.2067,0
38.5,0.5,22.04845,224.205,0
39.5,0.5,22.04905,224.2039,0
40.5,0.5,22.04956,224.2034,0
41.5,0.5,22.04997,224.2032,0
42.5,0.5,22.05031,224.2035,0
43.5,0.5,22.05059,224.204,0
44.5,0.5,22.05082,224.2048,0
45.5,0.5,22.05101,224.2058,0
46.5,0.5,22.05116,224.207,0
47.5,0.5,22.05129,224.2083,0
48.5,0.5,22.05139,224.2097,0
49.5,0.5,22.05147,224.2113,0
50.5,0.5,22.05153,224.213,0
51.5,0.5,22.05159,224.2148,0
52.5,0.5,22.05162,224.2167,0
53.5,0.5,22.05165,224.2187,0
54.5,0.5,22.05168,224.2207,0
55.5,0.5,22.0517,224.2227,0
56.5,0.5,22.05171,224.2248,0
57.5,0.5,22.05171,224.227,0
58.5,0.5,22.05169,224.2294,0
59.5,0.5,22.05163,224.2319,0
60.5,0.5,22.05151,224.2347,0
61.5,0.5,22.05129,224.238,0
62.5,0.5,22.05091,224.2421,0
63.5,0.5,22.05028,224.2473,0
64.5,0.5,22.04931,224.2542,0
65.5,0.5,22.04784,224.2633,0
66.5,0.5,22.0457,224.2755,0
67.5,0.5,22.0427,224.2916,0
68.5,0.5,22.03862,224.3126,0
69.5,0.5,22.0333,224.3393,0
70.5,0.5,22.02657,224.3723,0
71.5,0.5,22.01838,224.4119,0
72.5,0.5,22.00875,224.4579,0
73.5,0.5,21.99786,224.5095,0
74.5,0.5,21.98599,224.5654,0
75.5,0.5,21.97354,224.6237,0
76.5,0.5,21.961,224.6824,0
77.5,0.5,21.94889,224.7391,0
78.5,0.5,21.93769,224.7916,0
79.5,0.5,21.92779,224.8383,0
80.5,0.5,21.91947,224.878,0
81.5,0.5,21.91283,224.9103,0
82.5,0.5,21.90781,224.9355,0
83.5,0.5,21.90426,224.9543,0
84.5,0.5,21.9019,224.9679,0
85.5,0.5,21.90045,224.9775,0
86.5,0.5,21.89965,224.9843,0
87.5,0.5,21.89926,224.9894,0
88.5,0.5,21.89913,224.9934,0
89.5,0.5,21.89913,224.9968,0
90.5,0.5,21.89921,225,0
91.5,0.5,21.89932,225.0031,0
92.5,0.5,21.89943,225.0061,0
93.5,0.5,21.89955,225.0093,0
94.5,0.5,21.89967,225.0125,0
95.5,0.5,21.8998,225.0157,0
96.5,0.5,21.89993,225.0189,0
97.5,0.5,21.90005,225.0223,0
98.5,0.5,21.90018,225.0256,0
99.5,0.5,21.90032,225.029,0
