x,y,height,momentum_x,bathymetry
0.5,0.5,22.44306,222.2429,0
1.5,0.5,22.43608,222.2772,0
2.5,0.5,22.38021,222.5509,0
3.5,0.5,22.32809,222.8035,0
4.5,0.5,22.28003,223.034,0
5.5,0.5,22.2363,223.2419,0
6.5,0.5,22.19715,223.4263,0
7.5,0.5,22.16273,223.5873,0
8.5,0.5,22.13313,223.7249,0
9.5,0.5,22.10829,223.8397,0
10.5,0.5,22.08806,223.9328,0
11.5,0.5,22.07212,224.0059,0
12.5,0.5,22.06008,224.0611,0
13.5,0.5,22.05144,224.1008,0
14.5,0.5,22.04562,224.1274,0
15.5,0.5,22.04207,224.1439,0
16.5,0.5,22.04023,224.1525,0
17.5,0.5,22.03961,224.1557,0
18.5,0.5,22.03979,224.1552,0
19.5,0.5,22.04046,224.1525,0
20.5,0.5,22.04136,224.1488,0
21.5,0.5,22.04234,224.1448,0
22.5,0.5,22.04329,224.1409,0
23.5,0.5,22.04416,224.1373,0
24.5,0.5,22.04491,224.1343,0
25.5,0.5,22.04555,224.1318,0
26.5,0.5,22.04608,224.1298,0
27.5,0.5,22.04652,224.1282,0
28.5,0.5,22.04687,224.1271,0
29.5,0.5,22.04715,224.1263,0
30.5,0.5,22.04738,224.1257,0
31.5,0.5,22.04755,224.1254,0
32.5,0.5,22.04768,224.1253,0
33.5,0.5,22.04778,224.1253,0
34.5,0.5,22.04785,224.1255,0
35.5,0.5,22.04789,224.1257,0
36.5,0.5,22.04792,224.1261,0
37.5,0.5,22.04792,224.1266,0
38.5,0.5,22.0479,224.1272,0
39.5,0.5,22.04788,224.1279,0
40.5,0.5,22.04782,224.1287,0
41.5,0.5,22.04773,224.1296,0
42.5,0.5,22.0476,224.1308,0
43.5,0.5,22.04741,224.1322,0
44.5,0.5,22.04712,224.1341,0
45.5,0.5,22.04672,224.1366,0
46.5,0.5,22.04614,224.1398,0
47.5,0.5,22.04532,224.1441,0
48.5,0.5,22.04421,224.1498,0
49.5,0.5,22.0427,224.1573,0
50.5,0.5,22.0407,224.167,0
51.5,0.5,22.03811,224.1794,0
52.5,0.5,22.03482,224.195,0
53.5,0.5,22.03074,224.2141,0
54.5,0.5,22.0258,224.2371,0
55.5,0.5,22.01994,224.2642,0
56.5,0.5,22.01315,224.2955,0
57.5,0.5,22.00547,224.3308,0
58.5,0.5,21.99698,224.3697,0
59.5,0.5,21.98781,224.4115,0
60.5,0.5,21.97816,224.4555,0
61.5,0.5,21.96822,224.5006,0
62.5,0.5,21.95826,224.5457,0
63.5,0.5,21.94852,224.5898,0
64.5,0.5,21.93924,224.6317,0
65.5,0.5,21.93065,224.6705,0
66.5,0.5,21.92292,224.7055,0
67.5,0.5,21.91616,224.7362,0
68.5,0.5,21.91043,224.7622,0
69.5,0.5,21.90574,224.7837,0
70.5,0.5,21.90202,224.8009,0
71.5,0.5,21.89918,224.8143,0
72.5,0.5,21.89709,224.8244,0
73.5,0.5,21.89561,224.8318,0
74.5,0.5,21.89461,224.8371,0
75.5,0.5,21.89396,224.8408,0
76.5,0.5,21.89357,224.8435,0
77.5,0.5,21.89335,224.8455,0
78.5,0.5,21.89324,224.8469,0
79.5,0.5,21.89321,224.8481,0
80.5,0.5,21.8932,224.8491,0
81.5,0.5,21.89322,224.85,0
82.5,0.5,21.89325,224.8509,0
83.5,0.5,21.89328,224.8519,0
84.5,0.5,21.89331,224.8528,0
85.5,0.5,21.89335,224.8537,0
86.5,0.5,21.89338,224.8547,0
87.5,0.5,21.89341,224.8557,0
88.5,0.5,21.89345,224.8566,0
89.5,0.5,21.89348,224.8576,0
90.5,0.5,21.89351,224.8586,0
91.5,0.5,21.89355,224.8596,0
92.5,0.5,21.89358,224.8607,0
93.5,0.5,21.89362,224.8617,0
94.5,0.5,21.89366,224.8627,0
95.5,0.5,21.8937,224.8638,0
96.5,0.5,21.89374,224.8649,0
97.5,0.5,21.89378,224.866,0
98.5,0.5,21.89382,224.8671,0
99.5,0.5,21.89387,224.8682,0
