x,y,height,momentum_x,bathymetry
0.5,0.5,22.64263,221.2442,0
1.5,0.5,22.63371,221.2897,0
2.5,0.5,22.56483,221.6402,0
3.5,0.5,22.49905,221.9705,0
4.5,0.5,22.43671,222.2796,0
5.5,0.5,22.37817,222.5665,0
6.5,0.5,22.32379,222.83,0
7.5,0.5,22.27391,223.0691,0
8.5,0.5,22.22885,223.2831,0
9.5,0.5,22.18883,223.4715,0
10.5,0.5,22.15405,223.634,0
11.5,0.5,22.12452,223.7712,0
12.5,0.5,22.10016,223.8837,0
13.5,0.5,22.08072,223.9732,0
14.5,0.5,22.0658,224.0417,0
15.5,0.5,22.05491,224.0918,0
16.5,0.5,22.04743,224.1262,0
17.5,0.5,22.04272,224.148,0
18.5,0.5,22.04014,224.1602,0
19.5,0.5,22.0391,224.1654,0
20.5,0.5,22.03911,224.1659,0
21.5,0.5,22.03974,224.1635,0
22.5,0.5,22.0407,224.1597,0
23.5,0.5,22.04179,224.1553,0
24.5,0.5,22.04287,224.1509,0
25.5,0.5,22.04386,224.147,0
26.5,0.5,22.04473,224.1436,0
27.5,0.5,22.04546,224.1409,0
28.5,0.5,22.04608,224.1386,0
29.5,0.5,22.04659,224.1369,0
30.5,0.5,22.047,224.1357,0
31.5,0.5,22.04733,224.1348,0
32.5,0.5,22.04759,224.1342,0
33.5,0.5,22.0478,224.1339,0
34.5,0.5,22.04797,224.1339,0
35.5,0.5,22.04809,224.1339,0
36.5,0.5,22.04818,224.1341,0
37.5,0.5,22.04825,224.1345,0
38.5,0.5,22.0483,224.135,0
39.5,0.5,22.04832,224.1356,0
40.5,0.5,22.04833,224.1362,0
41.5,0.5,22.04832,224.137,0
42.5,0.5,22.04829,224.1379,0
43.5,0.5,22.04825,224.1388,0
44.5,0.5,22.04819,224.1398,0
45.5,0.5,22.04808,224.1411,0
46.5,0.5,22.04792,224.1426,0
47.5,0.5,22.04768,224.1445,0
48.5,0.5,22.04733,224.1469,0
49.5,0.5,22.04681,224.1501,0
50.5,0.5,22.04606,224.1543,0
51.5,0.5,22.04502,224.1599,0
52.5,0.5,22.04359,224.1672,0
53.5,0.5,22.04165,224.1768,0
54.5,0.5,22.03911,224.1892,0
55.5,0.5,22.03584,224.2049,0
56.5,0.5,22.03173,224.2244,0
57.5,0.5,22.02669,224.2481,0
58.5,0.5,22.02067,224.2762,0
59.5,0.5,22.01365,224.3088,0
60.5,0.5,22.00565,224.3457,0
61.5,0.5,21.99679,224.3865,0
62.5,0.5,21.98721,224.4304,0
63.5,0.5,21.97712,224.4765,0
64.5,0.5,21.96677,224.5237,0
65.5,0.5,21.95643,224.5707,0
66.5,0.5,21.94641,224.6163,0
67.5,0.5,21.93696,224.6592,0
68.5,0.5,21.92831,224.6985,0
69.5,0.5,21.92064,224.7334,0
70.5,0.5,21.91406,224.7635,0
71.5,0.5,21.90861,224.7886,0
72.5,0.5,21.90425,224.8088,0
73.5,0.5,21.9009,224.8247,0
74.5,0.5,21.89843,224.8367,0
75.5,0.5,21.89668,224.8455,0
76.5,0.5,21.89551,224.8519,0
77.5,0.5,21.89475,224.8564,0
78.5,0.5,21.89429,224.8596,0
79.5,0.5,21.89404,224.8619,0
80.5,0.5,21.89393,224.8637,0
81.5,0.5,21.89388,224.8652,0
82.5,0.5,21.89389,224.8664,0
83.5,0.5,21.89392,224.8676,0
84.5,0.5,21.89396,224.8687,0
85.5,0.5,21.894,224.8699,0
86.5,0.5,21.89404,224.871,0
87.5,0.5,21.89408,224.8722,0
88.5,0.5,21.89412,224.8735,0
89.5,0.5,21.89417,224.8747,0
90.5,0.5,21.89421,224.8759,0
91.5,0.5,21.89426,224.8772,0
92.5,0.5,21.8943,224.8784,0
93.5,0.5,21.89435,224.8797,0
94.5,0.5,21.8944,224.881,0
95.5,0.5,21.89445,224.8823,0
96.5,0.5,21.8945,224.8837,0
97.5,0.5,21.89454,224.8851,0
98.5,0.5,21.8946,224.8864,0
99.5,0.5,21.89466,224.8878,0
