x,y,height,momentum_x,bathymetry
0.5,0.5,20,-20,0
1.5,0.5,20,-20,0
2.5,0.5,20,-20,0
3.5,0.5,20,-20,0
4.5,0.5,20,-20,0
5.5,0.5,20,-20,0
6.5,0.5,20,-20,0
7.5,0.5,20,-20,0
8.5,0.5,20,-20,0
9.5,0.5,20,-19.99998,0
10.5,0.5,19.99999,-19.99989,0
11.5,0.5,19.99997,-19.99956,0
12.5,0.5,19.99989,-19.99838,0
13.5,0.5,19.99965,-19.99471,0
14.5,0.5,19.99897,-19.9845,0
15.5,0.5,19.99727,-19.95899,0
16.5,0.5,19.99343,-19.90149,0
17.5,0.5,19.98559,-19.78399,0
18.5,0.5,19.971,-19.56542,0
19.5,0.5,19.94615,-19.19379,0
20.5,0.5,19.90726,-18.61349,0
21.5,0.5,19.85101,-17.77716,0
22.5,0.5,19.77539,-16.65846,0
23.5,0.5,19.68037,-15.26137,0
24.5,0.5,19.56809,-13.62321,0
25.5,0.5,19.44277,-11.8106,0
26.5,0.5,19.31014,-9.910652,0
27.5,0.5,19.17682,-8.01965,0
28.5,0.5,19.04951,-6.231497,0
29.5,0.5,18.93422,-4.626966,0
30.5,0.5,18.83555,-3.264849,0
31.5,0.5,18.75611,-2.175742,0
32.5,0.5,18.69629,-1.360028,0
33.5,0.5,18.6544,-0.7911806,0
34.5,0.5,18.6273,-0.4240909,0
35.5,0.5,18.61117,-0.2062354,0
36.5,0.5,18.60241,-0.08810558,0
37.5,0.5,18.59809,-0.03006646,0
38.5,0.5,18.59618,-0.004598259,0
39.5,0.5,18.59544,0.005034101,0
40.5,0.5,18.59521,0.007803858,0
41.5,0.5,18.59517,0.007965975,0
42.5,0.5,18.59519,0.007288997,0
43.5,0.5,18.59523,0.006393999,0
44.5,0.5,18.59526,0.005488936,0
45.5,0.5,18.59529,0.004642763,0
46.5,0.5,18.59531,0.003865745,0
47.5,0.5,18.59533,0.003132247,0
48.5,0.5,18.59535,0.002400581,0
49.5,0.5,18.59536,0.001688715,0
50.5,0.5,18.59537,0.001010288,0
51.5,0.5,18.59537,0.0003374661,0
52.5,0.5,18.59537,-0.0003373826,0
53.5,0.5,18.59537,-0.001010195,0
54.5,0.5,18.59536,-0.001688604,0
55.5,0.5,18.59535,-0.002400448,0
56.5,0.5,18.59533,-0.003132089,0
57.5,0.5,18.59531,-0.003865563,0
58.5,0.5,18.59529,-0.004642562,0
59.5,0.5,18.59526,-0.005488724,0
60.5,0.5,18.59523,-0.00639378,0
61.5,0.5,18.59519,-0.007288774,0
62.5,0.5,18.59517,-0.007965746,0
63.5,0.5,18.59521,-0.007803631,0
64.5,0.5,18.59544,-0.005033889,0
65.5,0.5,18.59618,0.004598431,0
66.5,0.5,18.59809,0.03006663,0
67.5,0.5,18.60241,0.08810599,0
68.5,0.5,18.61117,0.2062366,0
69.5,0.5,18.6273,0.4240917,0
70.5,0.5,18.6544,0.7911761,0
71.5,0.5,18.69629,1.360029,0
72.5,0.5,18.75611,2.175742,0
73.5,0.5,18.83555,3.264851,0
74.5,0.5,18.93422,4.626971,0
75.5,0.5,19.04951,6.231492,0
76.5,0.5,19.17682,8.019648,0
77.5,0.5,19.31014,9.910652,0
78.5,0.5,19.44277,11.8106,0
79.5,0.5,19.56809,13.62321,0
80.5,0.5,19.68037,15.26137,0
81.5,0.5,19.77539,16.65846,0
82.5,0.5,19.85101,17.77716,0
83.5,0.5,19.90726,18.61349,0
84.5,0.5,19.94615,19.19379,0
85.5,0.5,19.971,19.56542,0
86.5,0.5,19.98559,19.78399,0
87.5,0.5,19.99343,19.90149,0
88.5,0.5,19.99727,19.95899,0
89.5,0.5,19.99897,19.9845,0
90.5,0.5,19.99965,19.99471,0
91.5,0.5,19.99989,19.99838,0
92.5,0.5,19.99997,19.99956,0
93.5,0.5,19.99999,19.99989,0
94.5,0.5,20,19.99998,0
95.5,0.5,20,20,0
96.5,0.5,20,20,0
97.5,0.5,20,20,0
98.5,0.5,20,20,0
99.5,0.5,20,20,0
