x,y,height,momentum_x,bathymetry
0.5,0.5,18.59567,0.0003103412,0
1.5,0.5,18.59568,0.000228914,0
2.5,0.5,18.59569,4.586659E-05,0
3.5,0.5,18.5957,-0.0001447342,0
4.5,0.5,18.59572,-0.0003256839,0
5.5,0.5,18.59573,-0.0005130626,0
6.5,0.5,18.59574,-0.0006910747,0
7.5,0.5,18.59575,-0.0008572275,0
8.5,0.5,18.59576,-0.001003938,0
9.5,0.5,18.59577,-0.001136739,0
10.5,0.5,18.59578,-0.001270943,0
11.5,0.5,18.59579,-0.001397454,0
12.5,0.5,18.59579,-0.001535473,0
13.5,0.5,18.5958,-0.001668272,0
14.5,0.5,18.59581,-0.001785498,0
15.5,0.5,18.59582,-0.001895202,0
16.5,0.5,18.59583,-0.002000768,0
17.5,0.5,18.59584,-0.002105575,0
18.5,0.5,18.59585,-0.002210253,0
19.5,0.5,18.59586,-0.002311607,0
20.5,0.5,18.59587,-0.002408383,0
21.5,0.5,18.59588,-0.002503181,0
22.5,0.5,18.59589,-0.002597319,0
23.5,0.5,18.5959,-0.00268409,0
24.5,0.5,18.59591,-0.002748813,0
25.5,0.5,18.59591,-0.002789726,0
26.5,0.5,18.59593,-0.00279461,0
27.5,0.5,18.59593,-0.00277794,0
28.5,0.5,18.59595,-0.002747191,0
29.5,0.5,18.59596,-0.002686159,0
30.5,0.5,18.59598,-0.002594933,0
31.5,0.5,18.596,-0.002462131,0
32.5,0.5,18.59602,-0.002290733,0
33.5,0.5,18.59604,-0.002081631,0
34.5,0.5,18.59607,-0.001843548,0
35.5,0.5,18.5961,-0.001579667,0
36.5,0.5,18.59613,-0.001310613,0
37.5,0.5,18.59616,-0.001039951,0
38.5,0.5,18.59619,-0.0007624243,0
39.5,0.5,18.59622,-0.0004925837,0
40.5,0.5,18.59624,-0.0002377258,0
41.5,0.5,18.59627,-2.332496E-05,0
42.5,0.5,18.59629,0.0001400473,0
43.5,0.5,18.59631,0.0002586531,0
44.5,0.5,18.59633,0.0003446735,0
45.5,0.5,18.59634,0.0003927495,0
46.5,0.5,18.59635,0.0004104699,0
47.5,0.5,18.59636,0.0003883458,0
48.5,0.5,18.59636,0.0003207517,0
49.5,0.5,18.59637,0.0002545428,0
50.5,0.5,18.59637,0.0002088713,0
51.5,0.5,18.59637,0.0001627225,0
52.5,0.5,18.59636,0.0001077881,0
53.5,0.5,18.59636,6.349586E-05,0
54.5,0.5,18.59635,5.890766E-05,0
55.5,0.5,18.59634,9.69827E-05,0
56.5,0.5,18.59632,0.000188805,0
57.5,0.5,18.5963,0.0003235842,0
58.5,0.5,18.59628,0.0004975215,0
59.5,0.5,18.59625,0.0007236337,0
60.5,0.5,18.59622,0.0009816763,0
61.5,0.5,18.5962,0.00125633,0
62.5,0.5,18.59616,0.001524136,0
63.5,0.5,18.59614,0.001789704,0
64.5,0.5,18.59611,0.002069943,0
65.5,0.5,18.59608,0.002340308,0
66.5,0.5,18.59605,0.002581931,0
67.5,0.5,18.59602,0.002786412,0
68.5,0.5,18.596,0.00295191,0
69.5,0.5,18.59598,0.00308447,0
70.5,0.5,18.59596,0.003175738,0
71.5,0.5,18.59595,0.003244011,0
72.5,0.5,18.59594,0.003284227,0
73.5,0.5,18.59593,0.003297996,0
74.5,0.5,18.59592,0.003294996,0
75.5,0.5,18.59591,0.003256638,0
76.5,0.5,18.59591,0.003211307,0
77.5,0.5,18.5959,0.003158021,0
78.5,0.5,18.5959,0.003097629,0
79.5,0.5,18.59589,0.003048372,0
80.5,0.5,18.59588,0.002988546,0
81.5,0.5,18.59587,0.002907183,0
82.5,0.5,18.59587,0.002808192,0
83.5,0.5,18.59586,0.00270458,0
84.5,0.5,18.59585,0.002601872,0
85.5,0.5,18.59584,0.002500876,0
86.5,0.5,18.59583,0.002396276,0
87.5,0.5,18.59582,0.002286341,0
88.5,0.5,18.59581,0.002175545,0
89.5,0.5,18.5958,0.002064376,0
90.5,0.5,18.59579,0.001948082,0
91.5,0.5,18.59578,0.001825928,0
92.5,0.5,18.59577,0.00169678,0
93.5,0.5,18.59576,0.001551666,0
94.5,0.5,18.59575,0.001400915,0
95.5,0.5,18.59575,0.001266073,0
96.5,0.5,18.59574,0.001132281,0
97.5,0.5,18.59572,0.0009752334,0
98.5,0.5,18.59571,0.0008027393,0
99.5,0.5,18.5957,0.0006252327,0
